"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"28/04/2026","18.715,25","18.819,61","18.913,30","18.715,25","","-0,55%"
"27/04/2026","18.819,61","18.815,18","18.987,01","18.803,51","","0,02%"
"24/04/2026","18.815,18","19.138,85","19.138,85","18.808,70","","-1,69%"
"23/04/2026","19.138,85","19.158,61","19.252,97","19.110,15","","-0,10%"
"22/04/2026","19.158,61","19.159,71","19.159,75","19.088,51","","-0,01%"
"21/04/2026","19.160,13","19.041,05","19.229,80","18.971,11","","0,63%"
"20/04/2026","19.041,05","19.238,40","19.238,40","18.885,82","","-1,03%"
"17/04/2026","19.238,40","18.739,54","19.345,19","18.693,83","","2,66%"
"16/04/2026","18.739,54","18.743,91","18.823,86","18.680,56","","-0,02%"
"15/04/2026","18.743,91","18.754,20","18.981,98","18.716,96","","-0,05%"
"14/04/2026","18.754,20","18.347,19","18.790,69","18.347,19","","2,22%"
"13/04/2026","18.347,19","18.447,35","18.456,79","18.094,55","","-0,54%"
"10/04/2026","18.447,35","18.063,02","18.447,73","18.063,02","","2,13%"
"09/04/2026","18.063,02","18.102,52","18.185,11","18.016,83","","-0,22%"
"08/04/2026","18.102,52","17.391,20","18.164,09","17.391,20","","4,09%"
"07/04/2026","17.391,20","17.599,70","17.707,03","17.377,26","","-1,18%"
"06/04/2026","17.599,70","17.514,80","17.740,86","17.514,80","","0,48%"
"03/04/2026","17.514,80","17.525,32","17.630,99","17.476,89","","-0,06%"
"02/04/2026","17.525,32","17.554,23","17.589,41","17.424,69","","-0,16%"
"01/04/2026","17.554,23","17.160,54","17.627,60","17.160,54","","2,29%"
"31/03/2026","17.160,54","17.330,27","17.347,88","17.151,04","","-0,98%"
"30/03/2026","17.330,27","17.221,05","17.462,98","17.215,64","","0,63%"